用户,用户ID,评论内容,点赞数,评论时间,IP属地
Ca2Ke,4996744322,好呀好呀,0,2025-06-08 14:24:48.022,河南
-求你别离开我-,12790490875,接,0,2025-06-08 14:24:19.364,浙江
记住尧-yy,13009819605,你赢了 我已经懒得认识新的人了,0,2025-06-08 14:23:34.203,山西
oi小玖,8931906722,接,0,2025-06-08 14:14:39.580,陕西
Tsuki-Peri-Agoni,5212432016,你成功啦,0,2025-06-08 14:11:42.944,湖北
-琳琳ani,13608905616,好无助  才出来打工没几天就发 烧了，工资还没发，身上没剩钱了快两天没吃什么了  有哥姐能 邦一顿 饭嘛  感觉快撑不下去了…,0,2025-06-08 14:02:56.825,江西
sdnuos,99228244,现在骗子太多了,0,2025-06-08 13:59:03.646,广东
我和薯条ing,1599046289,28万了,0,2025-06-08 13:55:48.944,上海
不渡uv,12521025898,接，你也是呀,0,2025-06-08 13:55:34.602,湖北
奔赴月亮湾zi,13609244205,好无助  才出来打工没几天就发 烧了，工资还没发，身上没剩钱了快两天没吃什么了  有哥姐能 邦一顿 饭嘛  感觉快撑不下去了…,0,2025-06-08 13:47:59.407,云南
醉醺醺_9c9c,8513322017,接,0,2025-06-08 13:43:46.696,广东
你就是是我baby,1477947081,你个咋的你想干嘛,0,2025-06-08 13:39:06.413,湖南
你就是是我baby,1477947081,哇哦好写的,0,2025-06-08 13:38:57.247,湖南
素我啊开门啊,4883037957,接,0,2025-06-08 13:37:18.778,安徽
clove丁香花,8557683675,接,0,2025-06-08 13:25:29.549,河北
月下请悄悄,8709877845,遇见你，是生生世世的宿命,0,2025-06-08 13:23:35.040,浙江
Aaaa下雨天好烦,13609122940,"我的性格谁都改不了唯独你可以

我的开心来源于你的消息

总有一天你会变

我的幸福就想水龙头 流完了幸福也没了

隔着手机屏幕多想抱抱你

你变了 再甜的糖也是苦的

",0,2025-06-08 13:23:24.363,安徽
交晕,9063199795,你做到了[流泪],0,2025-06-08 13:18:59.293,河南
沒有永恆的梅雨季丶,12415543286,接,0,2025-06-08 13:18:47.937,广东
真的真的想重开,13609265914,感觉自己快不行了，两天没吃饭了，晚上睡哪儿也不知道，外面下了雨，好冷又好饿，好想吃东西，感觉自己快撑不下去了，我能讨碗饭吃吗,0,2025-06-08 13:18:28.940,湖北
cftthcl,13609275696,好无助  才出来打工没几天就发 烧了，工资还没发，身上没剩钱了快两天没吃什么了  有哥姐能 邦一顿 饭嘛  感觉快撑不下去了…,0,2025-06-08 13:14:09.729,河北
Christina毛毛的妈妈,1606106596,有什么关系，我还和饺子是一个寝室的，我们都知道学医救不了中国人（不是😅）,0,2025-06-08 13:14:01.655,山西
春不重-kite,8499508900,加油,0,2025-06-08 13:10:18.338,江苏
htaq_QNm,5201151374,结婚了吗[幽灵]看到了记得回我[幽灵],0,2025-06-08 13:02:03.409,黑龙江
374岁悲郁少女,8441663737,接,0,2025-06-08 12:57:49.076,湖南
大涵_eBbM,310464549,"你开心吗？
→     两  指  往  中  间  拉         ←",0,2025-06-08 12:54:00.192,安徽
爱似今夜雪,13266400327,"我想对你说桉桉你很好 好好吃饭我爱你[亲亲]
",0,2025-06-08 12:43:23.327,河南
凉城O_oz,3723537556,好甜啊,1,2025-06-08 12:40:55.477,江西
愛I芊,4039487779,没事有28万赞,1,2025-06-08 12:26:25.477,江西
Youli-v,354843485,"初恋心动
",1,2025-06-08 12:22:47.919,江苏
84年的那场雪,7975464395,接,0,2025-06-08 12:20:21.009,新疆
你就是是我baby,1477947081,湖南哪的啊,0,2025-06-08 12:17:51.187,湖南
你就是是我baby,1477947081,那也可以呀,0,2025-06-08 12:17:41.477,湖南
你就是是我baby,1477947081,好啊好哦[憨笑],0,2025-06-08 12:17:13.129,湖南
你就是是我baby,1477947081,我想对你说桉桉你很好 好好吃饭我爱你[亲亲],0,2025-06-08 12:16:55.433,湖南
漓念桉,13407871189,如果有人能对我说 桉桉你很好 好好吃饭我爱你,1,2025-06-08 12:13:41.157,广东
梅酱阿咔,2066558062,"加油
",0,2025-06-08 12:12:39.775,广东
漓念桉,13407871189,贝贝你很可爱 很好不用在意别人怎么看你,0,2025-06-08 12:10:47.983,广东
漓念桉,13407871189,我时常因为有你 而感到幸福₍ᐢ⸝⸝› ̫‹⸝⸝ᐢ₎,0,2025-06-08 12:07:20.275,广东
-独t,8399492309,天天开心,0,2025-06-08 12:07:11.167,广东
惹不要上学,8383199943,会的,0,2025-06-08 12:03:40.905,广西
左脸有顆小梨涡,13179496979,叶絮,1,2025-06-08 11:45:21.749,江苏
世间萌物小依,10019796447,接,0,2025-06-08 11:36:00.493,河南
创死花亦山,12197651146,“老天爷 碰到真爱的时候 能不能放个背景音乐提示一下啊”,1,2025-06-08 11:33:49.120,广东
阿淇想吃冰淇淋,8116079847,是谁到了现在还在听这首歌,0,2025-06-08 11:24:07.589,河北
秋日柔淡灰腰果糖,13114232680,期待十八岁的我,0,2025-06-08 11:23:54.344,湖南
18年的山竹去也匆匆,1324394164,就是突然想听了，[强],1,2025-06-08 11:11:10.454,广东
只与自身相关,320297928,前奏一出来，又回到初中听广播放许嵩歌曲的时候,0,2025-06-08 11:10:05.955,广东
小双讨厌上学,13335042330,[VIP],0,2025-06-08 10:50:30.660,广东
开湖社功联络处,8483978372,相信看过狭隘的世界才最大的乐趣就是看书看书看书看电影看书看电视看书看小说看书看书看书看电影看书看电视看书看小说看书看书看书看电影看书看电视看书看小说看书看书看视频看剧看综艺看剧看视频看小说看电影看电影看电影看综艺看电影看音乐听歌听战战兢兢的政治学看电影看电影看电影,0,2025-06-08 10:49:10.670,河南
开湖社功联络处,8483978372,地点思想政治教育学院办公室办公室办公室办事处办公室办事处主任副主任科主任科主任科主任副院长科主任科级职务行政助理研究方向🧭？,0,2025-06-08 10:47:23.926,河南
开湖社功联络处,8483978372,fsshjcd,0,2025-06-08 10:46:03.388,河南
狂澜即倒_OvAU,5072907560,接,1,2025-06-08 10:41:26.772,河北
无-人爱,13020521190,感知幸福 从细碎生活开始.,2,2025-06-08 10:39:08.840,湖南
鞠祁袆,13561875661,wow~~~~~~~~~~~~~~~~~~~,0,2025-06-08 10:27:22.442,贵州
超绝甜妹小漫,13115194506,接,1,2025-06-08 10:08:38.111,江西
否极泰来j-,6389884182,可以点开我的笔记吧 看看我和她的故事 然后给我点个赞可以嘛,0,2025-06-08 09:55:45.466,河南
张景皓Nico,9115142302,？好了，,0,2025-06-08 09:55:11.412,上海
北觅-_FPGB,1883093390,接,1,2025-06-08 09:52:15.725,北京
忧郁的鱼-7,13001643096,[流泪]我已经学不进去了,1,2025-06-08 09:51:58.873,河南
缘为冰L_FCWQ,13131675776,接,1,2025-06-08 09:47:33.293,黑龙江
暴抽巴萨大门,6390783781,😨,1,2025-06-08 09:45:59.840,河北
你就是是我baby,1477947081,加油呀加油呀,1,2025-06-08 09:44:52.407,湖南
最好的爸爸啊,510994359,接,1,2025-06-08 09:42:34.931,江苏
云村村民169145558530665,8762783289,明天高考加油💪可以的,3,2025-06-08 09:38:11.941,山东
补药打瞌睡,9297722027,"细腻的稀饭😲
茅塔般的厚重感😭
赛过太阳👿
熟悉的鹌鹑蛋🤑
分享热汤🤓
我们俩只分一个碗",0,2025-06-08 09:37:52.329,广西
树上岛depression,7961487846,99哇,0,2025-06-08 09:34:07.744,福建
你就是是我baby,1477947081,咋说呢？？？,0,2025-06-08 09:33:20.625,湖南
你就是是我baby,1477947081,怀念啊,0,2025-06-08 09:33:05.052,湖南
媇舊,9270490544,"难养的花也会遇到最好的花匠.

一路走来有雨也有晴看清也看轻.

幸福如同漏沙期待的越多失去的越多.

回忆我没删我还是和泪常常作伴.

军师一步一步教别人幸福却教不了自己的幸福",1,2025-06-08 09:28:15.579,江西
媇舊,9270490544,"快乐的结尾总会有悲伤来临.

我们是解决问题不是解决对方.

他都懂他清楚他明白他就是没动静.

过往的每一页都是属于我们的回忆.

永远小孩脾气那你能不能只和我好.",0,2025-06-08 09:27:23.537,江西
ZZY困意,9516818337,接,0,2025-06-08 09:26:42.703,河南
媇舊,9270490544,"与你如枯木逢春别你如寒风降临.

因为问题大于爱不得不放弃.

你我之间的回忆我一辈子的痛.

跟你没话说的时候我的心也在下雨.

那就祝你以后遇到的人都值得错过我.",0,2025-06-08 09:26:29.333,江西
媇舊,9270490544,"是谁将大海倒挂，让思念越下越大

每次一想到你我就会默默的点根烟.

我不傻我早就看透你了只是舍不得你.

爱一个人就应该只爱一个人而不是沾花惹草.

其实那天我没走我一直在原地等你",0,2025-06-08 09:25:08.892,江西
Aaa小八潮,12679138008,广西妹要被创死了[发怒],0,2025-06-08 09:24:47.522,广西
